,Song,Artist,artist_trunc,search_term,lyrics_raw
248,Come Back to Me,Janet Jackson,Janet Jackson,Come Back to Me Janet Jackson,error
249,No More Lies,Michel'le,Michel'le,No More Lies Michel'le,error
250,Praying for Time,George Michael,George Michael,Praying for Time George Michael,error
251,How Can We Be Lovers,Michael Bolton,Michael Bolton,How Can We Be Lovers Michael Bolton,error
252,Do You Remember,Phil Collins,Phil Collins,Do You Remember Phil Collins,error
253,Ready or Not,After 7,After 7,Ready or Not After 7,error
254,U Can't Touch This,MC Hammer,MC Hammer,U Can't Touch This MC Hammer,error
255,I Wish It Would Rain Down,Phil Collins,Phil Collins,I Wish It Would Rain Down Phil Collins,error
256,Just Between You and Me,Lou Gramm,Lou Gramm,Just Between You and Me Lou Gramm,error
257,Something Happened on the Way to Heaven,Phil Collins,Phil Collins,Something Happened on the Way to Heaven Phil Collins,error
258,Black Cat,Janet Jackson,Janet Jackson,Black Cat Janet Jackson,error
259,Can't Stop,After 7,After 7,Can't Stop After 7,error
260,Janie's Got a Gun,Aerosmith,Aerosmith,Janie's Got a Gun Aerosmith,error
261,The Humpty Dance,Digital Underground,Digital Underground,The Humpty Dance Digital Underground,error
262,I'll Be Your Shelter,Taylor Dayne,Taylor Dayne,I'll Be Your Shelter Taylor Dayne,error
263,Free Fallin',Tom Petty,Tom Petty,Free Fallin' Tom Petty,error
264,Giving You the Benefit,Pebbles,Pebbles,Giving You the Benefit Pebbles,error
265,Enjoy the Silence,Depeche Mode,Depeche Mode,Enjoy the Silence Depeche Mode,error
266,Love Song,Tesla,Tesla,Love Song Tesla,error
267,Price of Love,Bad English,Bad English,Price of Love Bad English,error
268,Girls Nite Out,Tyler Collins,Tyler Collins,Girls Nite Out Tyler Collins,error
269,King of Wishful Thinking,Go West,Go West,King of Wishful Thinking Go West,error
270,What Kind of Man Would I Be?,Chicago,Chicago,What Kind of Man Would I Be? Chicago,error
271,I Remember You,Skid Row,Skid Row,I Remember You Skid Row,error
272,Get Up! (Before the Night Is Over),Technotronic featuring Ya Kid K,Technotronic featuring,Get Up! (Before the Night Is Over) Technotronic featuring,error
273,Here We Are,Gloria Estefan,Gloria Estefan,Here We Are Gloria Estefan,error
274,Epic,Faith No More,Faith No,Epic Faith No,error
275,Love Takes Time,Mariah Carey,Mariah Carey,Love Takes Time Mariah Carey,error
276,Just Like Jesse James,Cher,Cher,Just Like Jesse James Cher,error
277,Love Shack,The B-52s,The B-52s,Love Shack The B-52s,error
278,All or Nothing,Milli Vanilli,Milli Vanilli,All or Nothing Milli Vanilli,error
279,Romeo,Dino,Dino,Romeo Dino,error
280,Everybody Everybody,Black Box,Black Box,Everybody Everybody Black Box,error
281,I Go to Extremes,Billy Joel,Billy Joel,I Go to Extremes Billy Joel,error
282,Whip Appeal,Babyface,Babyface,Whip Appeal Babyface,error
283,Oh Girl,Paul Young,Paul Young,Oh Girl Paul Young,error
284,C'mon and Get My Love,D Mob featuring Cathy Dennis,D Mob,C'mon and Get My Love D Mob,error
285,(It's Just) The Way That You Love Me,Paula Abdul,Paula Abdul,(It's Just) The Way That You Love Me Paula Abdul,error
286,We Can't Go Wrong,The Cover Girls,The Cover,We Can't Go Wrong The Cover,error
287,When I'm Back on My Feet Again,Michael Bolton,Michael Bolton,When I'm Back on My Feet Again Michael Bolton,error
288,Make You Sweat,Keith Sweat,Keith Sweat,Make You Sweat Keith Sweat,error
289,This One's for the Children,New Kids on the Block,New Kids,This One's for the Children New Kids,error
290,What It Takes,Aerosmith,Aerosmith,What It Takes Aerosmith,error
291,Forever,Kiss,Kiss,Forever Kiss,error
292,Jerk Out,The Time,The Time,Jerk Out The Time,error
293,Just a Friend,Biz Markie,Biz Markie,Just a Friend Biz Markie,error
294,Whole Wide World,A'Me Lorain,A'Me Lorain,Whole Wide World A'Me Lorain,error
